p_esc,budget,politica,esc_rate,acuracia
1.0,0.2,C,0.1928,0.5090
1.0,0.2,E,0.1954,0.5321
1.0,0.4,C,0.3959,0.6684
1.0,0.4,E,0.3959,0.6735
1.0,0.6,C,0.5964,0.8098
1.0,0.6,D,0.5964,0.8201
1.0,0.6,E,0.5784,0.7763
1.0,0.8,C,0.7918,0.9357
1.0,0.8,D,0.7969,0.9486
1.0,0.8,E,0.7969,0.8972
0.85,0.2,C,0.1928,0.4801
0.85,0.2,E,0.1954,0.5028
0.85,0.4,C,0.3959,0.6090
0.85,0.4,E,0.3959,0.6141
0.85,0.6,C,0.5964,0.7203
0.85,0.6,D,0.5964,0.7306
0.85,0.6,E,0.5707,0.6907
0.85,0.8,C,0.7918,0.8170
0.85,0.8,D,0.7969,0.8290
0.85,0.8,E,0.7892,0.7788
