model,metric,value
gemma-3-1b,n,389
gemma-3-1b,acc_global,0.372751
gemma-3-1b,conf_acerto,0.844556
gemma-3-1b,conf_erro,0.747701
gemma-3-1b,auc_global,0.671142
gemma-3-1b,ece,0.411053
gemma-3-1b,acc_LC,0.464286
gemma-3-1b,acc_CH,0.521368
gemma-3-1b,acc_CN,0.220779
gemma-3-1b,acc_MT,0.180723
gemma-3-1b,auc_LC,0.667949
gemma-3-1b,auc_CH,0.691159
gemma-3-1b,auc_CN,0.638235
gemma-3-1b,auc_MT,0.531373
gemma-3-1b,n_LC,112
gemma-3-1b,n_CH,117
gemma-3-1b,n_CN,77
gemma-3-1b,n_MT,83
llama-3.2-1b,n,389
llama-3.2-1b,acc_global,0.398458
llama-3.2-1b,conf_acerto,0.591584
llama-3.2-1b,conf_erro,0.436680
llama-3.2-1b,auc_global,0.694927
llama-3.2-1b,ece,0.101624
llama-3.2-1b,acc_LC,0.464286
llama-3.2-1b,acc_CH,0.555556
llama-3.2-1b,acc_CN,0.298701
llama-3.2-1b,acc_MT,0.180723
llama-3.2-1b,auc_LC,0.676923
llama-3.2-1b,auc_CH,0.744675
llama-3.2-1b,auc_CN,0.537842
llama-3.2-1b,auc_MT,0.461765
llama-3.2-1b,n_LC,112
llama-3.2-1b,n_CH,117
llama-3.2-1b,n_CN,77
llama-3.2-1b,n_MT,83
qwen2.5-0.5b,n,389
qwen2.5-0.5b,acc_global,0.305913
qwen2.5-0.5b,conf_acerto,0.407827
qwen2.5-0.5b,conf_erro,0.320110
qwen2.5-0.5b,auc_global,0.678027
qwen2.5-0.5b,ece,0.049917
qwen2.5-0.5b,acc_LC,0.303571
qwen2.5-0.5b,acc_CH,0.478632
qwen2.5-0.5b,acc_CN,0.220779
qwen2.5-0.5b,acc_MT,0.144578
qwen2.5-0.5b,auc_LC,0.696833
qwen2.5-0.5b,auc_CH,0.668326
qwen2.5-0.5b,auc_CN,0.591176
qwen2.5-0.5b,auc_MT,0.532864
qwen2.5-0.5b,n_LC,112
qwen2.5-0.5b,n_CH,117
qwen2.5-0.5b,n_CN,77
qwen2.5-0.5b,n_MT,83
qwen2.5-1.5b,n,389
qwen2.5-1.5b,acc_global,0.478149
qwen2.5-1.5b,conf_acerto,0.547556
qwen2.5-1.5b,conf_erro,0.360389
qwen2.5-1.5b,auc_global,0.789025
qwen2.5-1.5b,ece,0.064291
qwen2.5-1.5b,acc_LC,0.526786
qwen2.5-1.5b,acc_CH,0.649573
qwen2.5-1.5b,acc_CN,0.428571
qwen2.5-1.5b,acc_MT,0.216867
qwen2.5-1.5b,auc_LC,0.812280
qwen2.5-1.5b,auc_CH,0.786906
qwen2.5-1.5b,auc_CN,0.777548
qwen2.5-1.5b,auc_MT,0.514530
qwen2.5-1.5b,n_LC,112
qwen2.5-1.5b,n_CH,117
qwen2.5-1.5b,n_CN,77
qwen2.5-1.5b,n_MT,83
qwen2.5-7b,n,389
qwen2.5-7b,acc_global,0.735219
qwen2.5-7b,conf_acerto,0.892966
qwen2.5-7b,conf_erro,0.658105
qwen2.5-7b,auc_global,0.851314
qwen2.5-7b,ece,0.097776
qwen2.5-7b,acc_LC,0.803571
qwen2.5-7b,acc_CH,0.948718
qwen2.5-7b,acc_CN,0.753247
qwen2.5-7b,acc_MT,0.325301
qwen2.5-7b,auc_LC,0.750505
qwen2.5-7b,auc_CH,0.647147
qwen2.5-7b,auc_CN,0.883848
qwen2.5-7b,auc_MT,0.598545
qwen2.5-7b,n_LC,112
qwen2.5-7b,n_CH,117
qwen2.5-7b,n_CN,77
qwen2.5-7b,n_MT,83
